_rowid_|48200|1478242958.55302|99.0|94.0280316879951|0|4251||-5|0|1683|1543|1700|1641|1600|29||0|0|0|24.2|0|0||1602|951|1701|94.1798941798942|||||1640|
_rowid_|48201|1478243024.12797|99.0|93.9670932358318|0|4252||-6|0|1683|1542|1700|1641|1600|29||0|0|0|24.2|0|0||1601|961|1701|94.1211052322163|||||1640|
_rowid_|48202|1478243114.60077|99.0|93.9449541284404|0|4252||-5|0|1683|1536|1700|1635|1600|29||0|0|0|24.2|0|0||1601|961|1701|94.1211052322163|||||1640|
_rowid_|48203|1478243192.59269|99.0|93.8837920489297|0|4252||-38|0|1683|1535|1700|1635|1600|29||0|0|0|24.2|0|0||1600|970|1701|94.0623162845385|||||1640|
_rowid_|48204|1478243264.22596|99.0|93.8875305623472|0|4252||0|0|1683|1536|1700|1636|1600|29||0|0|0|24.2|0|0||1600|970|1701|94.0623162845385|||||1640|
_rowid_|48205|1478243305.74191|99.0|93.8875305623472|0|4249||-9|0|1683|1536|1700|1636|1600|29||0|0|0|24.2|0|0||1600|970|1701|94.0623162845385|||||1640|
_rowid_|48206|1478243386.00203|99.0|93.8264058679707|0|4251||0|0|1683|1535|1700|1636|1600|29||0|0|0|24.2|0|0||1599|980|1701|94.0035273368607|||||1640|
_rowid_|48207|1478243433.65658|99.0|93.871359223301|0|4249||-19|0|1683|1547|1700|1648|1600|29||0|0|0|24.2|0|0||1599|980|1701|94.0035273368607|||||1640|
_rowid_|48208|1478243469.28446|99.0|93.7652811735941|0|4243||-25|0|1683|1534|1700|1636|1600|29||0|0|0|24.2|0|0||1598|990|1701|93.9447383891828|||||1640|
_rowid_|48209|1478243504.90855|99.0|93.7652811735941|0|4247||-45|0|1683|1534|1700|1636|1600|29||0|0|0|24.2|0|0||1598|990|1701|93.9447383891828|||||1640|
_rowid_|48210|1478243573.16407|99.0|93.7652811735941|0|4250||-9|0|1683|1534|1700|1636|1600|29||0|0|0|24.2|0|0||1598|990|1701|93.9447383891828|||||1640|
_rowid_|48211|1478243666.1021|99.0|93.75|0|4250||0|0|1683|1545|1700|1648|1600|29||0|0|0|24.2|0|0||1597|999|1701|93.885949441505|||||1640|
_rowid_|48212|1478243751.12469|99.0|93.75|0|4249||-5|0|1683|1545|1700|1648|1600|29||0|0|0|24.2|0|0||1597|999|1701|93.885949441505|||||1640|
_rowid_|48213|1478243816.58131|99.0|93.685488767456|0|4249||0|0|1683|1543|1700|1647|1600|29||0|0|0|24.1|0|0||1596|1009|1701|93.8271604938272|||||1640|
_rowid_|48214|1478243852.27911|99.0|93.6469150885767|0|4246||-33|0|1683|1533|1700|1637|1600|29||0|0|0|24.2|0|0||1596|1009|1701|93.8271604938272|||||1640|
_rowid_|48215|1478243891.44293|99.0|93.6469150885767|0|4248||-14|0|1683|1533|1700|1637|1600|29||0|0|0|24.2|0|0||1596|1009|1701|93.8271604938272|||||1640|
_rowid_|48216|1478243966.35629|99.0|93.5858277336591|0|4248||-21|0|1683|1532|1700|1637|1600|29||0|0|0|24.2|0|0||1595|1019|1701|93.7683715461493|||||1640|
_rowid_|48217|1478244031.88832|99.0|93.5858277336591|0|4247||-5|0|1683|1532|1700|1637|1600|29||0|0|0|24.2|0|0||1595|1019|1701|93.7683715461493|||||1640|
_rowid_|48218|1478244100.5543|99.0|93.5247403787416|0|4248||-5|0|1683|1531|1700|1637|1600|29||0|0|0|24.2|0|0||1594|1028|1701|93.7095825984715|||||1640|
_rowid_|48219|1478244175.27175|99.0|93.5247403787416|0|4247||-5|0|1683|1531|1700|1637|1600|29||0|0|0|24.2|0|0||1594|1028|1701|93.7095825984715|||||1640|
_rowid_|48220|1478244222.07441|99.0|93.5640558591378|0|4246||-32|0|1683|1541|1700|1647|1600|29||0|0|0|24.2|0|0||1594|1028|1701|93.7095825984715|||||1640|
_rowid_|48221|1478244300.05727|99.0|93.4676434676435|0|4246||-31|0|1683|1531|1700|1638|1600|29||0|0|0|24.2|0|0||1593|1038|1701|93.6507936507936|||||1640|
_rowid_|48222|1478244385.34041|99.0|93.5033394049787|0|4246||-50|0|1683|1540|1700|1647|1600|29||0|0|0|24.2|0|0||1593|1038|1701|93.6507936507936|||||1640|
_rowid_|48223|1478244420.93166|99.0|93.4226552984166|0|4242||-39|0|1683|1534|1700|1642|1600|29||0|0|0|24.2|0|0||1592|1047|1701|93.5920047031158|||||1640|
_rowid_|48224|1478244478.05829|99.0|93.4226552984166|0|4245||-9|0|1683|1534|1700|1642|1600|29||0|0|0|24.2|0|0||1592|1047|1701|93.5920047031158|||||1640|
_rowid_|48225|1478244562.31239|99.0|93.3617539585871|0|4245||-15|0|1683|1533|1700|1642|1600|29||0|0|0|24.2|0|0||1591|1057|1701|93.533215755438|||||1640|
_rowid_|48226|1478244627.84274|99.0|93.3657942787584|0|4244||0|0|1683|1534|1700|1643|1600|29||0|0|0|24.2|0|0||1591|1057|1701|93.533215755438|||||1640|
_rowid_|48227|1478244709.00047|99.0|93.3049300060864|0|4245||0|0|1683|1533|1700|1643|1600|29||0|0|0|24.2|0|0||1590|1067|1701|93.4744268077601|||||1640|
_rowid_|48228|1478244751.63357|99.0|93.3049300060864|0|4244||-5|0|1683|1533|1700|1643|1600|29||0|0|0|24.2|0|0||1590|1067|1701|93.4744268077601|||||1640|
_rowid_|48229|1478244787.26072|99.0|93.2481751824817|0|4240||-59|0|1683|1533|1700|1644|1600|29||0|0|0|24.2|0|0||1589|1076|1701|93.4156378600823|||||1640|
